iter	Passed	Remaining
0	0	95
1	1	85
2	2	79
3	3	72
4	3	71
5	4	69
6	5	68
7	5	67
8	6	67
9	7	66
10	8	65
11	8	65
12	9	63
13	10	62
14	10	62
15	11	61
16	12	60
17	13	60
18	13	59
19	14	58
20	15	58
21	16	57
22	16	56
23	17	56
24	18	55
25	19	54
26	20	54
27	20	53
28	21	53
29	22	52
30	23	51
31	24	51
32	24	50
33	25	49
34	26	48
35	27	48
36	27	47
37	28	46
38	29	45
39	29	44
40	30	44
41	31	42
42	31	42
43	32	41
44	33	40
45	34	40
46	35	39
47	36	39
48	36	38
49	37	37
50	38	36
51	39	36
52	39	35
53	40	34
54	41	33
55	41	32
56	42	32
57	43	31
58	44	30
59	45	30
60	45	29
61	46	28
62	47	27
63	48	27
64	49	26
65	50	25
66	51	25
67	51	24
68	52	23
69	53	22
70	54	22
71	54	21
72	55	20
73	56	19
74	57	19
75	57	18
76	58	17
77	59	16
78	60	16
79	60	15
80	61	14
81	62	13
82	63	12
83	64	12
84	64	11
85	65	10
86	66	9
87	67	9
88	68	8
89	68	7
90	69	6
91	70	6
92	71	5
93	71	4
94	72	3
95	73	3
96	73	2
97	74	1
98	75	0
99	76	0
